"","year","fat_age","total_value"
"1",2000,"0-14 years",109763.303548092
"2",2000,"15-19 years",6788.25168524629
"3",2000,"20-24 years",19840.351955905
"4",2000,"25-29 years",37510.2972909696
"5",2000,"30-34 years",38798.1825229337
"6",2000,"35-39 years",38648.5015578552
"7",2000,"40-44 years",37412.510821189
"8",2000,"45-49 years",32818.16941521
"9",2000,"50-54 years",28230.6839963672
"10",2000,"55-60 years",29154.7880106351
"11",2000,"60+ years",143556.327706418
"12",2001,"0-14 years",158067.236257063
"13",2001,"15-19 years",6726.45854598135
"14",2001,"20-24 years",19927.5117280346
"15",2001,"25-29 years",40253.3596610377
"16",2001,"30-34 years",42463.4900379117
"17",2001,"35-39 years",41464.8006828238
"18",2001,"40-44 years",39399.4816247332
"19",2001,"45-49 years",34088.8321962165
"20",2001,"50-54 years",28955.5972218073
"21",2001,"55-60 years",29050.5124375533
"22",2001,"60+ years",134449.037013676
"23",2002,"0-14 years",209485.221871078
"24",2002,"15-19 years",6842.740325702
"25",2002,"20-24 years",20275.0785999305
"26",2002,"25-29 years",43161.4181443918
"27",2002,"30-34 years",46024.8056211759
"28",2002,"35-39 years",44755.2560515347
"29",2002,"40-44 years",41365.5716635418
"30",2002,"45-49 years",35360.9900414976
"31",2002,"50-54 years",29403.5548084718
"32",2002,"55-60 years",29123.1291869134
"33",2002,"60+ years",126973.325775887
"34",2003,"0-14 years",258535.243114222
"35",2003,"15-19 years",7016.98311714474
"36",2003,"20-24 years",20224.9119787693
"37",2003,"25-29 years",45197.8200080859
"38",2003,"30-34 years",50051.9671831679
"39",2003,"35-39 years",47797.1418339828
"40",2003,"40-44 years",43355.2894353842
"41",2003,"45-49 years",36807.6635024745
"42",2003,"50-54 years",30123.6359911929
"43",2003,"55-60 years",29157.9477712454
"44",2003,"60+ years",121972.831254665
"45",2004,"0-14 years",298539.17257303
"46",2004,"15-19 years",7049.70801530872
"47",2004,"20-24 years",19881.7217177824
"48",2004,"25-29 years",46042.6657724605
"49",2004,"30-34 years",52754.440722241
"50",2004,"35-39 years",50382.6614518804
"51",2004,"40-44 years",44961.7823872329
"52",2004,"45-49 years",37706.9033053368
"53",2004,"50-54 years",30553.1538323364
"54",2004,"55-60 years",29056.1138762639
"55",2004,"60+ years",112652.266555425
"56",2005,"0-14 years",326824.273033697
"57",2005,"15-19 years",7245.67970852935
"58",2005,"20-24 years",19092.6044141038
"59",2005,"25-29 years",44155.7931563431
"60",2005,"30-34 years",52429.1619923465
"61",2005,"35-39 years",49880.2435863373
"62",2005,"40-44 years",44302.4643743922
"63",2005,"45-49 years",36993.0064260637
"64",2005,"50-54 years",29799.2409154161
"65",2005,"55-60 years",28422.673724804
"66",2005,"60+ years",104644.586940633
"67",2006,"0-14 years",348393.683973377
"68",2006,"15-19 years",7351.659741623
"69",2006,"20-24 years",17886.0498738294
"70",2006,"25-29 years",40621.2266850116
"71",2006,"30-34 years",49539.470414582
"72",2006,"35-39 years",47541.0724407622
"73",2006,"40-44 years",41940.2976797011
"74",2006,"45-49 years",35055.6760472743
"75",2006,"50-54 years",28568.4920390603
"76",2006,"55-60 years",27485.2923353354
"77",2006,"60+ years",99586.7399965048
"78",2007,"0-14 years",354853.028236571
"79",2007,"15-19 years",7403.57187190072
"80",2007,"20-24 years",16758.6601163521
"81",2007,"25-29 years",36267.3239708952
"82",2007,"30-34 years",45107.1865514747
"83",2007,"35-39 years",43746.2754491429
"84",2007,"40-44 years",38656.0740202297
"85",2007,"45-49 years",32343.5406364351
"86",2007,"50-54 years",26893.6982598859
"87",2007,"55-60 years",26200.4723614288
"88",2007,"60+ years",93553.1282559215
"89",2008,"0-14 years",356983.208277742
"90",2008,"15-19 years",7382.81178543585
"91",2008,"20-24 years",15640.734161737
"92",2008,"25-29 years",32361.7807594921
"93",2008,"30-34 years",40632.5801737809
"94",2008,"35-39 years",39905.9204744035
"95",2008,"40-44 years",35454.7217428251
"96",2008,"45-49 years",29883.7728093563
"97",2008,"50-54 years",25237.8823129049
"98",2008,"55-60 years",25087.9535520757
"99",2008,"60+ years",88871.9197492307
"100",2009,"0-14 years",346010.92392747
"101",2009,"15-19 years",7318.91822500662
"102",2009,"20-24 years",14688.3649318052
"103",2009,"25-29 years",28980.3774712443
"104",2009,"30-34 years",36519.5874643131
"105",2009,"35-39 years",36329.6506519157
"106",2009,"40-44 years",32522.4541967341
"107",2009,"45-49 years",27647.6502578491
"108",2009,"50-54 years",23696.884655419
"109",2009,"55-60 years",24024.6301924842
"110",2009,"60+ years",84502.9068274376
"111",2010,"0-14 years",337394.378460701
"112",2010,"15-19 years",7171.93183050832
"113",2010,"20-24 years",13746.9143750184
"114",2010,"25-29 years",25532.8876670877
"115",2010,"30-34 years",31959.2389889589
"116",2010,"35-39 years",32223.4202490763
"117",2010,"40-44 years",29190.5034883267
