"","year","age_group","variable","disease","value","unit"
"1",2000,"0-1 month","pop_D","Diphtheria",544704.790564941,"Annual"
"2",2000,"1-2 month","pop_D","Diphtheria",85549.0225934264,"Annual"
"3",2000,"2-3 month","pop_D","Diphtheria",77907.557450205,"Annual"
"4",2000,"3-4 month","pop_D","Diphtheria",77850.4178008672,"Annual"
"5",2000,"4-5 month","pop_D","Diphtheria",77850.0770714566,"Annual"
"6",2000,"5-6 month","pop_D","Diphtheria",77850.0753649579,"Annual"
"7",2000,"6-7 month","pop_D","Diphtheria",77850.0753575882,"Annual"
"8",2000,"7-8 month","pop_D","Diphtheria",77850.0753575603,"Annual"
"9",2000,"8-9 month","pop_D","Diphtheria",77850.0753575602,"Annual"
"10",2000,"9-10 month","pop_D","Diphtheria",77850.0753575602,"Annual"
"11",2000,"10-11 month","pop_D","Diphtheria",77850.0753575602,"Annual"
"12",2000,"11-12 month","pop_D","Diphtheria",77850.0753575602,"Annual"
"13",2000,"12-13 month","pop_D","Diphtheria",76072.2049088605,"Annual"
"14",2000,"13-14 month","pop_D","Diphtheria",76078.5505324226,"Annual"
"15",2000,"14-15 month","pop_D","Diphtheria",76078.5944694831,"Annual"
"16",2000,"15-16 month","pop_D","Diphtheria",76078.5947201904,"Annual"
"17",2000,"16-17 month","pop_D","Diphtheria",76078.5947213917,"Annual"
"18",2000,"17-18 month","pop_D","Diphtheria",76078.5947213967,"Annual"
"19",2000,"18-19 month","pop_D","Diphtheria",76078.5947213967,"Annual"
"20",2000,"19-20 month","pop_D","Diphtheria",76078.5947213967,"Annual"
"21",2000,"20-21 month","pop_D","Diphtheria",76078.5947213967,"Annual"
"22",2000,"21-22 month","pop_D","Diphtheria",76078.5947213967,"Annual"
"23",2000,"22-23 month","pop_D","Diphtheria",76078.5947213967,"Annual"
"24",2000,"23-24 month","pop_D","Diphtheria",76078.5947213967,"Annual"
"25",2000,"24-25 month","pop_D","Diphtheria",77368.8831682095,"Annual"
"26",2000,"25-26 month","pop_D","Diphtheria",77382.3956161684,"Annual"
"27",2000,"26-27 month","pop_D","Diphtheria",77382.5111971692,"Annual"
"28",2000,"27-28 month","pop_D","Diphtheria",77382.5120547087,"Annual"
"29",2000,"28-29 month","pop_D","Diphtheria",77382.5120599734,"Annual"
"30",2000,"29-30 month","pop_D","Diphtheria",77382.5120600007,"Annual"
"31",2000,"30-31 month","pop_D","Diphtheria",77382.5120600008,"Annual"
"32",2000,"31-32 month ","pop_D","Diphtheria",77382.5120600008,"Annual"
"33",2000,"32-33 month","pop_D","Diphtheria",77382.5120600008,"Annual"
"34",2000,"33-34 month","pop_D","Diphtheria",77382.5120600008,"Annual"
"35",2000,"34-35 month","pop_D","Diphtheria",77382.5120600008,"Annual"
"36",2000,"35-36 month","pop_D","Diphtheria",77382.5120600008,"Annual"
"37",2000,"36-37 month","pop_D","Diphtheria",80346.8298597223,"Annual"
"38",2000,"37-38 month","pop_D","Diphtheria",80370.2942761824,"Annual"
"39",2000,"38-39 month","pop_D","Diphtheria",80370.5001546205,"Annual"
"40",2000,"39-40 month","pop_D","Diphtheria",80370.5017095079,"Annual"
